Id,SalePrice
1461,127534.35
1462,124251.8
1463,203327.89
1464,180909.08
1465,204439.5
1466,179376.89
1467,187472.2
1468,158281.11
1469,162237.78
1470,133191.44
1471,178260.19
1472,119794.05
1473,98894.836
1474,152489.39
1475,98176.03
1476,314465.44
1477,223166.38
1478,246059.83
1479,284511.38
1480,563181.75
1481,372741.1
1482,175958.42
1483,186250.81
1484,157295.83
1485,176889.62
1486,194812.97
1487,410802.03
1488,236219.39
1489,178902.0
1490,207203.11
1491,184902.31
1492,100118.95
1493,199720.14
1494,247049.78
1495,300503.44
1496,229649.52
1497,160114.11
1498,147820.11
1499,151979.47
1500,150041.52
1501,176749.02
1502,142986.77
1503,279303.75
1504,225080.19
1505,232485.86
1506,210399.89
1507,266826.5
1508,211578.06
1509,153995.12
1510,138312.94
1511,162456.56
1512,138216.1
1513,135194.83
1514,174901.56
1515,222428.73
1516,164173.8
1517,159171.52
1518,128140.95
1519,244212.84
1520,138214.62
1521,145972.05
1522,149454.88
1523,119702.77
1524,108334.86
1525,127352.11
1526,118989.39
1527,107284.484
1528,147524.88
1529,134857.69
1530,176276.42
1531,151518.66
1532,109564.66
1533,164066.25
1534,116320.266
1535,158713.7
1536,116358.41
1537,84558.31
1538,151061.31
1539,194295.08
1540,128616.63
1541,139992.36
1542,141003.17
1543,187275.3
1544,87111.71
1545,113602.74
1546,123121.37
1547,155527.81
1548,146636.69
1549,120194.84
1550,137429.05
1551,122946.53
1552,148457.19
1553,172223.73
1554,105012.64
1555,186185.25
1556,107478.195
1557,137158.75
1558,95112.83
1559,123164.516
1560,139341.7
1561,161367.66
1562,124019.195
1563,122245.11
1564,161190.3
1565,141097.88
1566,241397.22
1567,80621.23
1568,226944.48
1569,124883.74
1570,133917.3
1571,110512.34
1572,154676.06
1573,254042.72
1574,139682.42
1575,228216.8
1576,237588.45
1577,155541.83
1578,163248.56
1579,147594.64
1580,189421.7
1581,156990.0
1582,107845.85
1583,327363.12
1584,224800.19
1585,138489.89
1586,67313.05
1587,93803.17
1588,142809.86
1589,114124.8
1590,118219.266
1591,89165.28
1592,135321.45
1593,121384.695
1594,173568.83
1595,126674.69
1596,216027.03
1597,187079.95
1598,180074.95
1599,170047.34
1600,169260.3
1601,72836.484
1602,145802.1
1603,95364.72
1604,254495.36
1605,216113.86
1606,145903.06
1607,160380.52
1608,192229.56
1609,173986.34
1610,139121.2
1611,144671.86
1612,168220.11
1613,150323.53
1614,135374.23
1615,78576.03
1616,72108.64
1617,86162.055
1618,124585.28
1619,150035.12
1620,214144.31
1621,136268.73
1622,160646.27
1623,276940.47
1624,228546.81
1625,120932.92
1626,159749.3
1627,181800.6
1628,294447.0
1629,172746.58
1630,321176.8
1631,159886.16
1632,248669.25
1633,178271.23
1634,188244.25
1635,171262.92
1636,145324.67
1637,238567.44
1638,198112.8
1639,193906.7
1640,223635.9
1641,178308.45
1642,206386.56
1643,207826.92
1644,202164.95
1645,222646.78
1646,139180.23
1647,152756.83
1648,116209.69
1649,131868.83
1650,128308.78
1651,108280.09
1652,95249.664
1653,100966.28
1654,132592.06
1655,147843.14
1656,132688.7
1657,150567.81
1658,150948.88
1659,111407.66
1660,168767.48
1661,448597.28
1662,409788.2
1663,367355.75
1664,530273.56
1665,227709.69
1666,326753.72
1667,304504.25
1668,283607.94
1669,263509.2
1670,295632.06
1671,283060.6
1672,560286.2
1673,324768.44
1674,237417.61
1675,200958.34
1676,180136.86
1677,218464.39
1678,553801.5
1679,406738.53
1680,318454.97
1681,229349.14
1682,283947.88
1683,185046.81
1684,162498.8
1685,183463.03
1686,152136.12
1687,177011.64
1688,171546.28
1689,182454.5
1690,203794.88
1691,184490.2
1692,245006.86
1693,155842.58
1694,175346.83
1695,163762.88
1696,253512.25
1697,170532.28
1698,374261.84
1699,292690.44
1700,210018.7
1701,305716.12
1702,227662.6
1703,210351.08
1704,277922.28
1705,220618.23
1706,427312.97
1707,185666.8
1708,183510.73
1709,253362.66
1710,209232.78
1711,220330.48
1712,272777.25
1713,266489.97
1714,218631.45
1715,191693.1
1716,171129.88
1717,160299.34
1718,131088.3
1719,205200.42
1720,207411.58
1721,162110.05
1722,141253.1
1723,149229.92
1724,177051.36
1725,216130.11
1726,196819.61
1727,169872.4
1728,166708.61
1729,146246.84
1730,155356.86
1731,149841.66
1732,115427.734
1733,134198.03
1734,114780.31
1735,132424.25
1736,103488.35
1737,329663.6
1738,213617.72
1739,224012.45
1740,218136.3
1741,195417.58
1742,182453.83
1743,175173.34
1744,261713.44
1745,223783.89
1746,220250.64
1747,194794.94
1748,232504.17
1749,139561.31
1750,134835.23
1751,264358.22
1752,118441.43
1753,141056.45
1754,186442.64
1755,170742.81
1756,123248.85
1757,100128.0
1758,142137.7
